participant,group,eng_variety,spn_variety,have_ln,aoa,check_pass,check_fails,item,speaker_variety,condition,sentence_type,sentence,correct_response,response,is_correct,rt_raw,trial_n,sentence_dur,rt_adj
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-total-yn_Manuela-vende-el-carro.wav,cuban,match,interrogative-total-yn,Manuela vende el carro,1,0,0,4.635,5,1.22,3.415
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_declarative-narrow-focus_Mi-madre-come-la-fruta.wav,andalusian,mismatch,declarative-narrow-focus,Mi madre come la fruta,0,0,1,1.704,6,1.38,0.32400000000000007
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien.wav,cuban,mismatch,interrogative-total-yn,El bebe comia muy bien,1,1,1,1.496,7,1.29,0.20599999999999996
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-broad-focus_Manuela-vende-el-carro.wav,puertorican,match,declarative-broad-focus,Manuela vende el carro,0,0,1,1.873,8,1.24,0.633
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-partial-wh_Por-que-ama-la-navidad.wav,chilean,match,interrogative-partial-wh,Por que ama la navidad,1,1,1,1.249,9,1.19,0.05900000000000016
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-partial-wh_Cuando-bebia-el-vino.wav,puertorican,match,interrogative-partial-wh,Cuando bebia el vino,1,1,1,1.609,10,1.07,0.5389999999999999
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-narrow-focus_Maria-bebe-el-vino.wav,andalusian,match,declarative-narrow-focus,Maria bebe el vino,0,0,1,3.693,11,1.34,2.3529999999999998
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,andalusian,match,interrogative-total-yn,Emilio ama la marcha,1,1,1,1.434,12,1.38,0.05400000000000005
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_interrogative-partial-wh_Cuando-vendia-el-carro.wav,castilian,match,interrogative-partial-wh,Cuando vendia el carro,1,1,1,1.593,13,1.36,0.23299999999999987
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-narrow-focus_Marta-abre-el-regalo.wav,castilian,match,declarative-narrow-focus,Marta abre el regalo,0,0,1,1.862,14,1.4,0.4620000000000002
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_mismatch_interrogative-total-yn_El-hombre-mira-la-luna.wav,cuban,mismatch,interrogative-total-yn,El hombre mira la luna,1,1,1,1.319,15,1.11,0.20899999999999985
5b376f54cf5e6a00018309ef,native,NA,Spain,si,NA,NA,NA,andalusian_match_declarative-narrow-focus_Emilio-ama-la-marcha.wav,chilean,match,declarative-narrow-focus,Emilio ama la marcha,0,0,1,1.476,16,1.28,0.19599999999999995
